-27.0	0.0
-26.0	0.0
-25.0	0.0
-24.0	0.0
-23.0	0.0
-22.0	-0.3673269061923766
-21.0	-0.4195162364267663
-18.0	-0.7508936437994275
-17.0	-0.66728079668886
-16.0	-0.5836679495782925
-15.0	-0.5237030208601878
-14.0	-0.3417820911262617
-13.0	-0.014732301868502612
-12.0	0.320202972798006
-11.0	0.7466180417519845
-10.0	1.516599801787503
-8.0	3.398621581941744
-7.0	4.621837388793907
-6.0	5.929546882403195
-5.0	7.438622487523327
-4.0	8.675700886949915
-3.0	9.919765704386714
-2.0	11.081177838454266
-1.0	12.37055567991606
0.0	14.083834415329914
1.0	15.617227588189552
2.0	16.465624162727693
3.0	17.072219331812807
4.0	17.61263996399114
5.0	17.927472761093327
6.0	18.110140831168266
7.0	18.201503250596485
8.0	18.041632205283953
9.0	17.096738803388668
10.0	15.922393603380831
11.0	14.589952580551246
13.0	12.017768833786121
14.0	10.653404759033837
15.0	9.025034458899421
16.0	7.165413361816192
17.0	5.059666513025929
18.0	3.594550030484423
19.0	2.4539697297537226
20.0	1.6379256108338274
21.0	0.8222007731496352
22.0	0.12655231861604904
23.0	-0.008831401113861631
25.0	-0.3066708241414623
26.0	-0.46841507744449623
28.0	-0.7977475068244428
29.0	-0.9703017685456375
30.0	-1.1502850408809482
31.0	-1.3482298224563127
32.0	-1.5641361132717313
33.0	-1.7519520694394803
35.0	-1.9590419738890748
36.0	-2.062586926113872
37.0	-2.1661318783386694
38.0	-2.2696768305634665
39.0	-2.0103532879846386
40.0	-1.7510297454058112
42.0	-1.2323826602481558
44.0	-0.7056322508177589
46.0	-0.16537630093277095
47.0	0.10475167400970688
54.0	0.0
61.0	0.0
62.0	0.0
63.0	0.0
64.0	0.0
65.0	0.0
66.0	0.0
68.0	0.0
69.0	0.0
71.0	0.0
72.0	0.0
